ID,THÈME,QUESTION,RÉPONSE A,RÉPONSE B,RÉPONSE C
1,ABEILLE/GUÊPE,"Je vois une ruche d'abeilles ou de guêpes/frelons, que dois-je faire ?",La détruire,Mettre le feu,Contacter les autorités
2,ABEILLE/GUÊPE,Lequel de ces symptômes correspond à la piqûre d'abeille ou de guêpe/frelon ?,La somnolence ,Le saignement,Des douleurs intenses
3,EAU DESTINÉE À LA CONSOMMATION HUMAINE,Qui établit les normes de potabilité de l’eau de consommation humaine au Brésil ?,IBAMA,ANVISA,Ministère de la santé
4,EAU DESTINÉE À LA CONSOMMATION HUMAINE,Quel service doit être averti en cas de suspicion de contamination de l’eau ?,L’environnement,La Police,La Santé
5,EAU DESTINÉE À LA CONSOMMATION HUMAINE,Connaissez-vous la fréquence de nettoyage recommandée pour votre réservoir d’eau ?,Tous les 10 ans,Pas besoin de nettoyage,Tous les 6 mois
6,EAU DESTINÉE À LA CONSOMMATION HUMAINE,Savez-vous ce qu’est une eau destinée à la consommation humaine ?,Toutes les eaux,L’eau pour cuisiner,l’eau potable
7,ANIMAUX AQUATIQUES,Quelle substance peut être utilisée pour soigner les piqûres de méduses ? ,La bière,L’eau douce,Le vinaigre
8,ANIMAUX AQUATIQUES,Quels sont les premiers soins en cas de piqûre de méduse ? ,Uriner sur place,Mettre de la glace,Mettre du vinaigre
9,ANIMAUX AQUATIQUES,Comment soulager la douleur causée par des poissons venimeux ?,Mettre de la pommade,Boire de l'alcool,Passer de l'eau tiède
10,ANIMAUX AQUATIQUES,Quelle est la couleur du drapeau sur les plages pour signaler la présence d'animaux marins dangereux ?,Rouge,Noir,Violet
11,AIR CONTAMINÉ,Comment appelle-t-on le brouillard formé par la pollution atmosphérique ?,Canicule,Pluie acide,Smog
12,AIR CONTAMINÉ,"En général, quel temps est propice à la pollution atmosphérique ?",Ciel nuageux,La neige,Chaleur et pluie
13,AIR CONTAMINÉ,Quel est le principal polluant responsable de l'effet de serre ?,L’oxygène,L’ammoniac,Le gaz carbonique
14,AIR CONTAMINÉ,Lequel de ces polluants atmosphériques est dangereux pour la santé ?,L’azote,Le plomb,Le dioxyde de soufre
15,AIR CONTAMINÉ,Lequel de ces objets est source de pollution atmosphérique en milieu fermé ?,La douche électrique,La télécommande,L’air conditionné
16,AIR CONTAMINÉ,Quelle recommandation sert à lutter contre les effets de la pollution atmosphérique sur la santé humaine ?,Faire de l’exercice,Le repos,Boire beaucoup d'eau
17,AIR CONTAMINÉ,Quel est le principal effet de la pollution atmosphérique sur le climat ?,Les tsunamis,Les inondations,Une augmentation de la chaleur
18,AIR CONTAMINÉ,Lequel de ces effets est celui du monoxyde de carbone sur la santé humaine ?,Le cancer du poumon,La sinusite,Les maux de tête
19,AIR CONTAMINÉ,En quelle saison le niveau de pollution de l’air est-il le plus élevé ?,L’automne,L’été,L’hiver
20,AIR CONTAMINÉ,Qui sont les plus grands responsables des émissions de polluants dans les grandes villes ?,Les industries,Les brûlis,Les véhicules
21,AIR CONTAMINÉ,Dans quels appareils trouve-t-on les gaz CFC ?,Les portables,Les appareils électroménagers,Les réfrigérateurs
22,AIR CONTAMINÉ,"Parmi ces mesures, lesquelles permettent le mieux de contrôler la qualité de l'air en ce qui concerne les véhicules ?",Une conduite prudente,Changer de carburant,L’utilisation de catalyseurs
23,AIR CONTAMINÉ,Quel polluant provient de centrales électriques consommant du charbon ou du pétrole ?,L’ozone,L’azote,Le dioxyde de soufre
24,ARAIGNÉE,Laquelle de ces araignées ne cause pas d'accidents graves au Brésil ?,Les Loxosceles,L’araignée-banane (Phoneutria),La mygale
25,ARAIGNÉE,Dans quelle région géographique du Brésil trouve-t-on le plus d’accidents causés par des araignées ?,La région Sud-est,La région Nord-est,La région Sud
26,ARAIGNÉE,Laquelle de ces araignées provoque une morsure presque imperceptible ?,La mygale,L’araignée-banane (Phoneutria),Les Loxosceles
27,ARAIGNÉE,Que peut-on faire pour aider à soulager la douleur causée par une morsure d’araignée ?,Presser la plaie,La succion avec le bouche,Une compresse tiède
28,COQUELUCHE,Quelle maladie est caractérisée par une toux longue ?,La rougeole,La méningite,La coqueluche
29,COQUELUCHE,"Quelle maladie se cache derrière une toux longue, des bruits respiratoires, des vomissements après la toux ?",La grippe,La tuberculose,La coqueluche
30,COQUELUCHE,Quelle bactérie est à l'origine de la coqueluche ?,C. tetani,C. diphtheriae,B. pertussis
31,COQUELUCHE,Quel vaccin contre la coqueluche protège les enfants de moins d'un an ?,Le BCG ,Le ROR,Le vaccin pentavalent
32,COQUELUCHE,Quelle est la principale mesure de prévention contre la coqueluche ?,L’utilisation de préservatifs,Prendre des antibiotiques,Le vaccin
33,COQUELUCHE,Quel antibiotique est recommandée pour le traitement de la coqueluche ?,La rifampicine,Le Tamiflu,L’azithromycine
34,DENGUE/ZIKA/CHIK,À quelle fréquence faut-il détruire les sites de reproduction ? ,Tous les jours,Tous les mois,Toutes les semaines
35,DENGUE/ZIKA/CHIK,Laquelle de ces mesures ne favorise pas la protection des femmes enceintes ? ,Utiliser une moustiquaire,Nettoyer la maison,Passer de l'huile sur la peau
36,DENGUE/ZIKA/CHIK,Comment se transmet la dengue ?,Les baisers,Les câlins,La piqûre de moustique
37,DENGUE/ZIKA/CHIK,Est-ce que la climatisation tue le moustique Aedes ?,Le ventilateur seulement,Oui,Non
38,DENGUE/ZIKA/CHIK,Une personne atteinte de la dengue peut-elle faire usage d’aspirine et d’autres médicaments similaires ?,Oui,Seulement de l'aspirine,Ne doit pas
39,DENGUE/ZIKA/CHIK,À quelle période de la journée pouvez-vous être piqué pas Aedes aegypti ?,Le matin seulement,Seulement la nuit,"Matin, midi et soir"
40,DENGUE/ZIKA/CHIK,La climatisation de mon lieu de travail peut-il être un site de reproduction de Aedes aegypti ?,Non,Le ventilateur seulement,Oui
41,DENGUE/ZIKA/CHIK,Toutes les personnes infectées par le virus Zika développent-elles des symptômes ?,Oui,Seulement les enfants,Non
42,DENGUE/ZIKA/CHIK,Comment prévenir l'infection à virus Zika ?,Prendre un bain,Prendre des vitamines,Utiliser du répulsif
43,DENGUE/ZIKA/CHIK,Qu’est-ce que Zika ?,Une maladie,Un moustique,Un virus
44,DENGUE/ZIKA/CHIK,Lequel de ces symptômes est considéré comme un signe d'alerte pour la femme enceinte ?,Nausées matinales,La congestion nasale,Les taches rouges
45,DENGUE/ZIKA/CHIK,Laquelle de ces maladies est transmise par les moustiques ? ,La syphilis,La tuberculose,Le chikungunya
46,DENGUE/ZIKA/CHIK,Quel est le signe de gravité chez la personne souffrant de fièvre ?,La toux,La diarrhée,Les saignements
47,CATASTROPHES,Qui appeler en cas d'effondrement ou de glissement de terrain ?,SAMU (192),CVV (141),La Défense civile (199)
48,CATASTROPHES,Quel est le numéro de téléphone des pompiers à appeler en cas d’incendie ?,192,194,193
49,CATASTROPHES,Que faire en cas d'accidents causés par des animaux venimeux après une inondation ? ,Sucer la plaie,Attraper l’animal,Aller à l’hôpital
50,CATASTROPHES,"Si vous trouvez des animaux venimeux dans votre maison, quel service devez-vous activer ?",SAMU (192),La Défense civile (199),Les pompiers (193)
51,CATASTROPHES,Où ne devez-vous pas rester en cas de foudre ?,En voiture ou en bus,Dans une maison ou un immeuble,Sous un arbre
52,CATASTROPHES,Que peut-il arriver à une personne frappée par la foudre ?,Rien,Uniquement des brûlures,Brûlures et mort
53,CATASTROPHES,Que faire en cas de forte pluie et de rues inondées ?,Jouer dans l'eau,Traverser la rue inondée,Chercher un abri
54,CATASTROPHES,Que faire si vous trouvez un sac à dos abandonné ?,L’ouvrir,Ramener à la maison,Contacter les autorités
55,CATASTROPHES,Que faire si vous trouvez un objet qui possède le symbole de la radioactivité ?,Manipuler l'objet,Ramener à la maison,Contacter les autorités
56,CATASTROPHES,Que faire si vous recevez un courrier suspect ?,Le rendre,L’ouvrir,Contacter les autorités
57,CATASTROPHES,Quel service activer si vous constatez une fuite de produits chimiques dans la rue ? ,SAMU (192),La Police civile (197),Les pompiers (193)
58,CATASTROPHES,Quels dangers cachent les eaux des inondations ?,Aucun,La grippe,La leptospirose
59,DIPHTÉRIE,Que sait-on de la diphtérie ?,La paralysie flasque ,Toux chronique,Croup
60,DIPHTÉRIE,"En général, quelle est la durée d'incubation de la diphtérie ?",5 à 15 jours,5 à 10 jours,1 à 6 jours
61,DIPHTÉRIE,En combien de temps le porteur peut-il éliminer le bacille de la diphtérie ?,1 an,3 mois ou plus,6 mois ou plus
62,DIPHTÉRIE,Quel vaccin est recommandé pour prévenir la diphtérie chez l’adulte ?,Le ROR,Le BCG,Double adulte
63,DIPHTÉRIE,Quelle est la mesure thérapeutique la plus efficace pour le traitement de la diphtérie ?,La thérapie antibiotique,Le vaccin,Le sérum antidiphtérique
64,DIPHTÉRIE,Quelle est la mesure de prévention la plus efficace contre la diphtérie ?,la thérapie antibiotique,L’utilisation de préservatifs,La vaccination
65,MALADIE DE CHAGAS,Quel est l'agent causal de la maladie de Chagas ?,La bactérie,Un virus,Protozoaire
66,MALADIE DE CHAGAS,Quel insecte transmet la maladie de Chagas ?,La Guêpe,Les moustiques ,Les punaises
67,MALADIE DE CHAGAS,Lequel de ces facteurs ne transmet pas la maladie de Chagas ?,La transfusion de sang,Les aliments contaminés,Le contact avec les personnes
68,MALADIE DE CHAGAS,"Quels types de punaises peuvent, par leur piqûre, transmettre la maladie de Chagas?",Tous,Seulement les femelles,Seulement les personnes infectées
69,MALADIE DE CHAGAS,Quel est le principal symptôme de la phase aiguë de la maladie de Chagas ?,Les douleurs articulaires,La toux,Une fièvre persistante
70,MALADIE DE CHAGAS,Quel diagnostic permet de confirmer la maladie de Chagas ?,L’examen urinaire,L’analyse des selles,Le test sanguin
71,MALADIE DE CHAGAS,Existe-t-il des traitements spécifiques à la maladie de Chagas offerts par le SUS ? ,Oui. Gratuit,Non,"Oui, mais il est payant"
72,MALADIE DE CHAGAS,Lequel de ces facteurs n'est pas un moyen de prévenir la maladie de Chagas ?,Utiliser une moustiquaire,Nettoyer les cours,Éliminer l'eau stagnante
73,MALADIE DE CHAGAS,Que faire si une personne a de la fièvre pendant plus de 7 jours ?,Prendre des antibiotiques,Prendre des antipyrétiques,Contacter le SUS
74,MST/SIDA,Que faire après avoir eu un contact avec du sang ou du sperme qui pourraient être contaminés par le VIH ?,Rien,Prendre un bain,Contacter le SUS
75,MST/SIDA,Existe-t-il une loi au Brésil qui criminalise la discrimination envers les personnes vivant avec le VIH/SIDA ?,Non,Dépend du motif,Oui
76,MST/SIDA,Les séropositifs VIH doivent-ils être très malades pour avoir droit au traitement du SUS ?,Oui,Il n'y a pas de traitement,Tous y ont droit
77,MST/SIDA,Les termes VIH et SIDA signifient-ils la même chose ?,Oui,Le VIH est l'acronyme du sida,Non
78,MST/SIDA,Le préservatif est-il le seul moyen de prévention du VIH ?,Oui,Non. Seulement le stérilet,Non
79,MST/SIDA,Pourquoi prendre les médicaments pour traiter le VIH ?,Pour guérir du sida,Pour vivre plus difficilement,Pour vivre mieux
80,MST/SIDA,"Si je découvre que je suis séropositif VIH, quand dois-je commencer à prendre mes médicaments ?",Quand je me sens mal,Il n'y a aucun médicament,Immédiatement
81,MST/SIDA,Existe-t-il un vaccin ou une guérison pour le SIDA ?,Oui,Seulement pour les femmes,Non
82,MST/SIDA, Un séropositif VIH prend-il beaucoup de médicaments chaque jour ?,Oui,Non,C’est au cas par cas
83,MST/SIDA,Est-ce vrai que les médicaments pour le VIH provoquent des effets secondaires ?,Non. Il s'agit d'un mythe,Seulement chez les enfants,Oui
84,MST/SIDA,Lesquels de ces effets secondaires concernent le traitement du VIH ?,La dépression,La démence,Les nausées et les vomissements
85,MST/SIDA,Le HPV est-il une infection sexuellement transmissible qui peut être évitée grâce à un vaccin ?,Seulement chez les enfants,Non,Oui
86,MST/SIDA,Laquelle de ces options n'est pas une maladie sexuellement transmissible ?,La syphilis,Le papillomavirus humain,La dengue
87,MST/SIDA,Comment éviter toutes les infections sexuellement transmissibles (IST) ?,L’abstinence sexuelle,La fidélité,Utiliser des préservatifs
88,MST/SIDA,Il est plus sûr d'utiliser deux préservatifs en même temps ?,Oui,"Oui, 3 maximum",Non
89,EBOLA,Qu’est-ce qu’Ebola ?,La bactérie,Une malformation fœtale,Un virus
90,SCORPION,Quel animal venimeux causent le plus grand nombre d'accidents au Brésil ?,Le serpent,L’araignée,Le scorpion
91,SCORPION,Dans quels endroits trouve-t-on le plus de scorpions ?,Les piscines et les lacs,Dans les arbres,Les ordures et les caniveaux
92,SCORPION,Quel est le principal symptôme clinique présenté par les piqûres de scorpions ?,Les larmoiements,Le gonflement,Des douleurs intenses
93,SCORPION,Dans quels cas une victime d’une piqûre de scorpion devrait-elle recevoir du sérum antiscorpionique ?,Dans tous les cas,Seulement les cas graves,Modérés et graves
94,SCORPION,Que peut-on faire pour aider à soulager une douleur causée par une piqûre de scorpion ?,Presser la plaie,La succion du venin ,Une compresse tiède
95,BILHARZIOSE,Comment se transmet la bilharziose ?,Par l'éternuement,Par contact avec le sol,Contact avec les escargots
96,BILHARZIOSE,Comment la bilharziose est-elle diagnostiquée ?,L’examen urinaire,Le test sanguin,L’analyse des selles
97,BILHARZIOSE,Sous quel terme la bilharziose est-elle également connue ?,Le jaunissement,La maladie des 7 jours,La schistosomiase
98,BILHARZIOSE,La bilharziose est une maladie :,Bactérienne,Virale,Parasitaire
99,BILHARZIOSE,L'agent causal de la bilharziose est :,Ascaris lumbricoides,Chlamydia tracomatis,Schistosoma mansoni
100,EXAMENS DE LABORATOIRE,La déshydratation peut-elle fausser une analyse de sang ?,Non,Oui,Oui
101,EXAMENS DE LABORATOIRE,Faut-il communiquer l’utilisation de médicaments au laboratoire d’analyses ?,Non,C'est peut être important,Oui
102,EXAMENS DE LABORATOIRE,Où est-ce que je peux effectuer des analyses de laboratoire ?,Seulement dans le réseau privé,Seulement dans le réseau public,Les deux
103,EXAMENS DE LABORATOIRE,Que faire pour éviter d’avoir un bleu au bras après une prise de sang ? ,Secouer le bras,Attendre que ça parte,Une compresse
104,FIÈVRE JAUNE,La fièvre jaune se transmet par :,La morsure de chauve-souris,Les aliments contaminés,La piqûre de moustique
105,FIÈVRE JAUNE,Quels types de moustiques transmettent la fièvre jaune forestière ?,Aedes,Anopheles,Haemagogus
106,FIÈVRE JAUNE,Lesquels des symptômes suivants sont caractéristiques de la fièvre jaune :,Les douleurs articulaires,Les maux de tête,Le jaunissement de la peau
107,FIÈVRE JAUNE,Lequel de ces moyens ne permet pas de prévenir la fièvre jaune ?,Le vaccin,Le répulsif,La protection solaire
108,FIÈVRE JAUNE,Laquelle de ces activités ne présente aucun risque de fièvre jaune ?,Le camping,La pêche,Les promenades nocturnes
109,FIÈVRE JAUNE,Quel est le traitement disponible pour la fièvre jaune ?,Les antibiotiques,Les anti-inflammatoires,Il n'y a pas de traitement
110,FIÈVRE JAUNE,"Au-delà de la dengue, du Zika et du chikungunya, quelle autre maladie est transmise par Aedes aegypti ?",O’Nyong-nyong,La filariose,La fièvre jaune
111,FIÈVRE JAUNE,Lequel de ces milieux ne présente pas de cycle de transmission de la fièvre jaune ?,Urbain,Forestier,Aquatique
112,FIÈVRE JAUNE,"En plus de l’homme, quel animal est porteur de la fièvre jaune ?",Les oiseaux,Le chien,Le singe
113,FIÈVRE JAUNE,La fièvre jaune est causée par un (une),La bactérie,Protozoaire,Un virus
114,FIÈVRE JAUNE,Avec quelle autre maladie les symptômes de la fièvre jaune peuvent-ils être confondus ?,La maladie de Chagas,La leishmaniose,La dengue
115,FIÈVRE JAUNE,La mesure la plus importante pour prévenir la fièvre jaune est :,Se laver le visage,Se laver les mains,La vaccination
116,FIÈVRE POURPRÉE DES MONTAGNES ROCHEUSES,Quel est le vecteur de la fièvre pourprée des montagnes Rocheuses ?,Le moustique,Le capybara,La tique
117,FIÈVRE POURPRÉE DES MONTAGNES ROCHEUSES,Lequel de ces animaux est porteur des tiques responsables de la fièvre pourprée des montagnes Rocheuses ?,Le serpent,Le léopard,Le capybara
118,FIÈVRE POURPRÉE DES MONTAGNES ROCHEUSES,Quels sont les foyers d’infection de la fièvre pourprée des montagnes Rocheuses ?,Zones à ordures,Les zones à moustiques,Zones à tiques
119,FIÈVRE POURPRÉE DES MONTAGNES ROCHEUSES,Lesquelles de ces symptômes concernent la fièvre pourprée des montagnes Rocheuses ?,La diarrhée,Les vomissements,La fièvre
120,FIÈVRE POURPRÉE DES MONTAGNES ROCHEUSES,Que faire si vous présentez les symptômes de la fièvre pourprée des montagnes Rocheuses ?,Attendre que ça passe,Prendre des liquides,Contacter un médecin
121,FIÈVRE POURPRÉE DES MONTAGNES ROCHEUSES,Quelles mesures préventives contre la fièvre pourprée des montagnes Rocheuses pouvez-vous adopter chez vous ?,Éliminer l'eau stagnante,Laver les toilettes,Nettoyer les cours
122,FILARIOSE LYMPHATIQUE,Quel est le moustique du genre Culex qui transmet la filariose lymphatique ?,Anopheles,Aedes aegypti,Culex quinquefasciatus
123,FILARIOSE LYMPHATIQUE,Il s’agit d’une complication de la filariose lymphatique :,l’hémorragie digestive,La cécité,L’éléphantiasis
124,FILARIOSE LYMPHATIQUE,La filariose lymphatique est-elle une infection ?,Virale,Bactérienne,Parasitaire
125,LÈPRE,Qu’est-ce que la lèpre ?,Un virus,Un protozoaire,Une maladie
126,LÈPRE,"Faut-il séparer les verres, les couverts et les assiettes d’un patient atteint de la lèpre ?",Oui,Uniquement les assiettes,Non
127,LÈPRE,Comment attrape-t-on la lèpre ?,Par les poignées de main,Les rapports sexuels,Contact avec les malades
128,GRIPPE,Quel est le principal symptôme de la grippe ?,Les vomissements,Les douleurs musculaires,La forte fièvre
129,GRIPPE,Avec quelle autre maladie la grippe peut-elle être confondue ?,La sinusite,L’œsophagite,Le rhume
130,GRIPPE,De fréquents lavages et désinfections des mains permettent-ils de prévenir la grippe ?,Non,Seulement après les repas,Oui
131,GRIPPE,Est-il utile d’éviter tout contact direct avec des personnes qui présentent des signes ou des symptômes de grippe ?,Non,À partir de 1 m,Oui
132,GRIPPE,Est-ce que couvrir le nez et la bouche lorsqu’on tousse ou éternue réduit la transmission de la grippe ?,Non ,Couvrir seulement la bouche,Oui
133,GRIPPE,Est-ce que le Brésil possède un vaccin contre la grippe ?,Non,Juste pour le virus H1N1,Oui
134,GRIPPE,Est-ce qu’une femme enceinte peut recevoir le vaccin contre la grippe ?,Non,"Oui, après le 3e mois",Oui
135,GRIPPE,Est-ce que la grippe circule toute l’année au Brésil ?,Seulement dans le Sud-est,Non,Oui
136,GRIPPE,Est-ce que la population privée de liberté reçoit le vaccin de la grippe ?,Non,> 5 ans de prison,Oui
137,GRIPPE,Est-ce que les patients chroniques atteints de maladies non transmissibles peuvent recevoir le vaccin de la grippe ?,Non,Seulement les personnes ayant des problèmes cardiaques,Oui
138,CHENILLE (LÉPIDOPTÈRE),Quel est le nom de la chenille qui se trouve au Brésil et dont la piqûre provoque une hémorragie ?,Automeris,Hylesia,Lonomia
139,CHENILLE (LÉPIDOPTÈRE),Comment survient l’empoisonnement par une chenille ?,Par les piqûres,par morsure,Contact avec les poils
140,CHENILLE (LÉPIDOPTÈRE),Quelles sont les activités qui présentent le plus de risques de piqûres de chenilles du genre Lonomia ?,Se coucher dans l'herbe,Courir dans l'herbe,Grimper aux arbres
141,LEISHMANIOSE TÉGUMENTAIRES,Qu’est que la leishmaniose tégumentaire ?,Une maladie rare,Une maladie chronique,Une maladie infectieuse
142,LEISHMANIOSE TÉGUMENTAIRES,Comment se caractérise l’ulcère typique de la leishmaniose tégumentaire cutanée ?,Douloureux,Douleurs à la peau,Indolore pour la peau
143,LEISHMANIOSE TÉGUMENTAIRES,Quel diagnostic permet de confirmer la leishmaniose tégumentaire ?,Sérologique,Clinique,Parasitologique
144,LEISHMANIOSE TÉGUMENTAIRES,Dans quels environnements y-a-t-il normalement transmission de leishmaniose tégumentaire ?,Urbains,Régions côtières,Forestier et rural
145,LEISHMANIOSE TÉGUMENTAIRES,Lesquels de ces insectes transmettent la leishmaniose tégumentaire ?,Aedes aegypti,Les punaises,les phlébotomes
146,LEISHMANIOSE TÉGUMENTAIRES,Où le vecteur de la leishmaniose tégumentaire se développe-t-il ?,L’eau stagnante,Maisons en torchis,Les endroits humides
