ID,ТЕМА,ВОПРОС,АЛЬТЕРНАТИВА А,АЛЬТЕРНАТИВА B,АЛЬТЕРНАТИВА С
149,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,В каком регионе Бразилии наибольшее количество случаев висцерального лейшманиоза?,Южный регион,Северный регион,Северный регион
150,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,"Если не лечить висцеральный лейшманиоз, это может привести к смерти?",Нет,Только в пожилом возрасте,Да
151,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Какой из них является симптомом висцерального лейшманиоза?,Слепота,Обезвоживание,Жар
152,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Есть ли лечение висцерального лейшманиоза?,Нет,Только частная сеть,"Да, в Единой Системе Здравоохранения"
153,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,"Какой анализ можно сделать в Единой Системе Здравоохранения, для диагностики висцерального лейшманиоза?",Анализ крови,Ультразвуковое исследование,Быстрый тест
154,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Что является основным резервуаром лейшманиоза в городских районах?,Курица,Человек,Собака
155,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Основная форма передачи висцерального лейшманиоза среди собак?,Укус,Контакт с мочой,Укусы насекомых
156,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Какой из них является одним из основных клинических признаков висцерального лейшманиоза у собак?,Агрессия,Пожелтение кожи,Поражения кожи
157,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Какое из этих насекомых передает висцеральный лейшманиоз людям?,Aedes aegypti,Парикмахеры,Комар Маруйн
158,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,"Где развивается насекомое, которое передает висцеральный лейшманиоз?",Стоячая вода,Затопленные деревянные дома,Влажные места
159,МАЛЯРИЯ,В этом регионе Бразилии сосредоточено более 99% случаев малярии?,Юго-Восток,Северо-Восток,Север
160,МАЛЯРИЯ,Так передаётся малярия?,Через воду,Через продукты питания,Укус комара
161,МАЛЯРИЯ,"В каком из этих мест находятся личинки комаров, которые являются переносчиками малярии?",Резервуары для воды,В колодцах,В озёрах
162,МАЛЯРИЯ,"Какой из этих путей является правильным, для того, чтобы защитить себя от малярийного комара?",Принимая витамины,Сделать прививку,Используйте противомоскитные сетки
163,МАЛЯРИЯ,Какой комар передает малярию?,Самка  Aedes,Самец Anopheles,Самка Anopheles
164,МАЛЯРИЯ,Какие из них являются симптомами тяжелой малярии:,Изнеможение,Кровотечения,Сильный жар >41°C
165,МАЛЯРИЯ,Наиболее подходящие средства для прерывания цикла передачи малярии?,Чай и постельный режим,Это невозможно,Своевременный диагноз
166,МАЛЯРИЯ,Самый распространённый симптомом малярии?,Одышка,Пятна на коже,Сильный жар
167,МАЛЯРИЯ,Существуют лекарства для профилактики малярии?,Нет,Только импортные,Да
168,МАЛЯРИЯ,Кто может заразиться малярией?,Только мужчины,Только дети,Любой человек
169,МАЛЯРИЯ,Каковы наиболее распространенные признаки и симптомы малярии?,Пятна на коже,Боли в суставах,Жар
170,МАЛЯРИЯ,Могу ли я заразиться малярией более чем один раз?,Нет,"Да, дважды",Да
171,МАЛЯРИЯ,Существует ли вакцина от малярии?,Да,Только для взрослых,Нет
172,МАЛЯРИЯ,Как поставить диагноз малярии?,Через слюну,Ликёр,Через кровь
173,МАЛЯРИЯ,Существует ли тяжёлая форма малярии?,Нет,Всегда тяжёлая форма,Да
174,МАЛЯРИЯ,Где находится эндемичная малярия в Бразилии?,Юго-Восток,Северо-Восток,Север
175,МАЛЯРИЯ,Что вызывает малярию?,Вирус,Бактерия,Плазмодий
176,МАЛЯРИЯ,Могу ли я заразиться малярией от другого человека?,"Да, охватывая","Да, через поцелуй",Нет
177,МАЛЯРИЯ,Где я могу сдать анализы на малярию?,Аптека,Сосед,Единая Система Здравоохранения
178,МАЛЯРИЯ,Где лечат малярия?,В аптеке,У соседа,В Единой Системе Здравоохранения
179,МАЛЯРИЯ,Сколько стоит лечение малярии?,300 реалов,50 реалов,Бесплатно в Единой Системе Здравоохранения
180,МАЛЯРИЯ,Существует малярия в Бразилии?,"Нет, только в Азии","Нет, только в Африке",Да
181,МАЛЯРИЯ,На каком из этих континентов есть случаи малярии?,Америка и Океания,Азия и Океания,Америка и Африка
182,МАЛЯРИЯ,Как избежать заражения малярией?,Укус комара,Переливание крови,Загрязнённая вода
183,МАЛЯРИЯ,Единое ли лечение для наиболее распространенных видов малярии в Бразилии (трехдневная и фальципарум)?,Да,Нет лечения,Нет
184,МАЛЯРИЯ,Жар - симптом малярии?,Нет,Только невысокая температура,Да
185,МАЛЯРИЯ,"Комар, передающий денге, также передает малярию?",Да,Все болезни,Нет
186,МАЛЯРИЯ,"В этом органе размножается паразит малярии, прежде чем атаковать красные клетки крови?",Кожа,Селезенка,Печень
187,МАЛЯРИЯ,"Наиболее благоприятный сезон для укуса комара, который передает малярию?",В течение дня,Когда идет дождь,"Утром, днем и вечером"
188,МАЛЯРИЯ,Малярия может убить?,Только оставляет осложнения,Нет,Да
189,МАЛЯРИЯ,Беременные женщины с малярией могут нормально принимать лекарства?,Да,Смотря какой случай,Нет
190,МАЛЯРИЯ,Могу ли я вылечить малярию чаями и растениями?,Да,Только чаем,Нет
191,МАЛЯРИЯ,Должен ли я избегать употреблять какие-либо продукты питания из-за лекарств от малярии?,Острая пища,Жирная пища,Нет
192,МАЛЯРИЯ,Кто является носителями паразита малярии в его жизненном цикле?,Только человека,Никакой,Комар и человек
193,МАЛЯРИЯ,Какой процент населения мира находится под угрозой малярии?,0%,10%,50%
194,МАЛЯРИЯ,"Как быстро, после укуса зараженного комара, человек начинает испытывать симптомы малярии?",1 - 3 дня,30 дней,10 - 15 дней
195,МАЛЯРИЯ,Любой комар является переносчиком малярии?,Да,"Нет, только Aedes","Нет, только Anopheles"
196,МАЛЯРИЯ,Так передаётся малярия?,Через обнимание,Через поцелуй,Укус комара
197,МАЛЯРИЯ,Что можно сделать для профилактики малярии?,Есть фрукты,Пить чай,Избегать комаров
198,МАЛЯРИЯ,Малярия излечима?,В некоторых случаях,Нет,Да
199,МАЛЯРИЯ,Где я могу сделать прививку от малярии?,В частной больнице,Аптеки,Нет прививки
200,МАЛЯРИЯ,Существует специальный репеллент для борьбы с малярийным комаром?,Да,"Да, импортные",Нет
201,МАЛЯРИЯ,Малярийный комар размножается как комар денге?,Да,Не размножается,Нет
202,МАЛЯРИЯ,Какой комар anopheles передает малярию? Самец или самка?,Оба,Только самец,Только самка 
203,МАЛЯРИЯ,"Если беременная женщина болеет малярией, жизнь ребенка находится под угрозой?",Только мать подвергается риску,Нет,Да
204,МАЛЯРИЯ,Для какого возраста малярия может быть более опасной?,Подростки,Взрослые,Пожилых людей и детей
205,МАЛЯРИЯ,Рекомендуется ли проводить лечение малярии до конца?,Нет,"Нет, только половину",Да
206,ЛЕКАРСТВА,"Какой тип препаратов, используется для лечения бактериальных инфекций?",Противорвотные средства,Противовирусные препараты,Антибиотики
207,ЛЕКАРСТВА,"Какая тип препаратов, используется для лечения боли?",Антациды,Противоопухолевые средства,Анальгетики
208,ЛЕКАРСТВА,"Какой тип препаратов, используется для лечения рака?",Препараты противоязвенные,Спазмолитик,Противоопухолевые препараты
209,ЛЕКАРСТВА,Где можно найти самую важную информацию о продукте?,Рецепт,Первичная упаковка,Инструкция к применению
210,ЛЕКАРСТВА,"Любой уход, используемый для лечения или облегчения симптомов болезни называется:",Плацебо,Прививка,Препараты 
211,ЛЕКАРСТВА,"Лекарства, полученные непосредственно из растительного экстракта называются:",Настои и чаи,Гомеопатические,Фитотерапия
212,МЕНИНГИТ,Какой из этих признаков и симптомов проявляются при менингите?,Рвота,Кашель,Ригидность затылочных мышц
213,МЕНИНГИТ,Какое заболевание приводит к воспалению мозговых оболочек?,Инсульт,Тромбоз,Менингит
214,МЕНИНГИТ,Наиболее серьезный тип менингита вызван каким микроорганизм?,Вирус,Грибки,Бактерии
215,МИКРОЦЕФАЛИЯ,Что такое микроцефалия?,Бактерия,Вирус,Неправильное формирование плода
216,ОНХОЦЕРКОЗ,какой комар передает онхоцеркоз?,Aedes aegypti,Настоящие комары,Мошки Simulium
217,ОНХОЦЕРКОЗ,Под каким названием также известна болезнь онхоцеркоз?,Улиточная лихорадка,Заболевания передающиеся клещами,Речная слепота
218,ОНХОЦЕРКОЗ,В каких федеративных округах Бразилии зафиксированы случаи онхоцеркоза?,Санта-Катарина и Рио-Гранде-ду-Сул,Гояс и Мату-Гросу,Амазонас и Рорайма
219,ДРУГИЕ ЯДОВИТЫЕ ЖИВОТНЫЕ,Что делать если произошёл несчастный случай с ядовитыми животными?,Бегать и прыгать,Пить чай,Искать врача
220,ДРУГИЕ ЯДОВИТЫЕ ЖИВОТНЫЕ,Какой из этих животных считается ядовитым?,Крыса,Летучая мышь hematófago,Банановый паук
221,ДРУГИЕ ЯДОВИТЫЕ ЖИВОТНЫЕ,Какой из этих животных считается ядовитым?,Собака,Рыба Баяку,Скорпион
222,ДРУГИЕ ЯДОВИТЫЕ ЖИВОТНЫЕ,Какой из этих животных считается ядовитым?,Ящерица ,Рыба Меч ,Кобра Жарарака
223,ДРУГИЕ ЯДОВИТЫЕ ЖИВОТНЫЕ,Какой из этих животных считается ядовитым?,Веретеница ломкая,Ложный скорпион,Многоножки
224,ДРУГИЕ ЯДОВИТЫЕ ЖИВОТНЫЕ,Какой из этих животных считается ядовитым?,Слепая змея,Акула,Медуза
225,ПОЛИОМИЕЛИТ,Каким микроорганизмом вызывается полиомиелит?,Бактерия,Грибки,Вирус
226,ПОЛИОМИЕЛИТ,Под каким названием широко известен полиомиелит?,Круп,Затяжной кашель,Детский паралич
227,ПОЛИОМИЕЛИТ,"В общем, каков инкубационный период полиомиелита?",1 - 6 дней,5-15 дней,7 - 12 дней
228,ПОЛИОМИЕЛИТ,Главная профилактическая мера против полиомиелита?,Антибиотикотерапия,Использование презервативов,Вакцинация
229,ПОЛИОМИЕЛИТ,Какое заболевание подозревается у ребёнка младше 15 лет с острым вялым параличом?,Столбняк,Коклюш,Полиомиелит
230,БЕШЕНСТВО ,Как заражаются бешенством?,Комары,Птицы,Млекопитающие
231,БЕШЕНСТВО ,Какие из этих примеров являются передатчиками бешенства?,Кролик и Хомяк,Курица и утка,Собаки и кошки
232,БЕШЕНСТВО ,Какой из этих вариантов является методом передачи бешенства?,Контакт с мусором,Укус комара,Укус
233,БЕШЕНСТВО ,Какие из этих причин являются симптомами бешенства у людей?,Красные пятна на теле,Диарея,Подергивание мышц
234,БЕШЕНСТВО ,Каковы основные признаки и симптомы бешенства у животного (собаки или кошки)?,Виляет хвостом,Становится ручным,Отсутствие аппетита
235,БЕШЕНСТВО ,Как предотвратить бешенство?,Не выходите из дома,Избегайте свалок,Собаки и кошки
236,БЕШЕНСТВО ,"Излечим ли человек, который болен бешенством?",Да,Иногда,"Нет лечения, убивает! "
237,ДЕЗИНФЕКЦИЯ,Продукты для очистки неживых поверхностей:,Косметика,Антиоксиданты,Дезинфекция
238,ДЕЗИНФЕКЦИЯ,"При нечаянном приёме внутрь или с воздухом чистящего средства, необходимо всегда:",Вызывает рвоту,Пить воду,Читайте этикетку
239,КОРЬ,"Корь - заразное инфекционное заболевание, вызываемое?",Бактерия,Простейшие,Вирус
240,КОРЬ,Передача вируса кори происходит путем:,Орально или фекально ,Aedes aegypti,Дыхательные пути
241,КОРЬ,"Какой из этих вариантов, является характерным признаком кори?",Конъюнктивит,Головная боль,Красные пятна 
242,КОРЬ,Каков приблизительный период инкубации кори?,5 дней,3 дня,10 дней
243,КОРЬ,Наиболее эффективный способ профилактики кори?,Использование СИЗ,Изоляция,Прививка
244,КОРЬ,Что является критерием для подтверждения случая заболевания кори?,Биопсия,Диагностическое Сканирование,Лабораторные анализы
245,КОРЬ,"Идеальный период, чтобы уведомить о подозреваемом случае кори?",До 48 часов,До 72 часов,До 24 часов
246,КОРЬ,Идеальный период для проведения блокирования вакцинации против кори?,До 1 месяца ,До 96 часов,До 72 часов
247,КОРЬ,Кому нельзя делать прививку MMR или тетра?,Пожилые люди,Годовалый ребёнок,Беременные женщины  
248,ЗДОРОВЬЕ СЛУЖАЩИХ И ЕДИНАЯ СИСТЕМА ЗДРАВООХРАНЕНИЯ,Гарантия права на здоровье:,Это не закон,Не является обязательным,Это закон
249,ЗДОРОВЬЕ СЛУЖАЩИХ И ЕДИНАЯ СИСТЕМА ЗДРАВООХРАНЕНИЯ,Аббревиатура - Единой Системы Здравоохранения?,Единая Система Выбора,Информационная Система Болезней Подлежащих Уведомлению,Единая Система Здравоохранения
250,ЗДОРОВЬЕ СЛУЖАЩИХ И ЕДИНАЯ СИСТЕМА ЗДРАВООХРАНЕНИЯ,"В Единой Системе Здравоохранения, включены в право на здоровье:",Работники,У кого есть страховка,Все 
251,ЗДОРОВЬЕ СЛУЖАЩИХ И ЕДИНАЯ СИСТЕМА ЗДРАВООХРАНЕНИЯ,Использование ремней безопасности является обязательным для работы на какой высоте?,1 м,3 м,2 м 
252,ЗДОРОВЬЕ СЛУЖАЩИХ И ЕДИНАЯ СИСТЕМА ЗДРАВООХРАНЕНИЯ,Правильно ли использовать при пожаре с горючими жидкостями:,Вода,CO2,Пена 
253,ЗДОРОВЬЕ СЛУЖАЩИХ И ЕДИНАЯ СИСТЕМА ЗДРАВООХРАНЕНИЯ,Каковы минимальные и максимальные пределы толерантности шума?,85 - 110,80 - 115,85 - 115 
254,ЗМЕЯ,"Что нужно сделать немедленно, в случае несчастного случая со змеей?",Использование жгута,Обработать спиртом,Искать Единую Систему Здравоохранения
255,ЗМЕЯ,Какая из этих ядовитых змей является причиной большинства несчастных случаев в Бразилии?,Гремучая змея,Коралл,Жарарака
256,ЗМЕЯ,Какая из этих змей считается ядовитой?,Анаконда,Удав,Жарарака
257,ЗМЕЯ,Что надо сделать при встрече со змеей?,Пытаться поймать,Сделать селфи,Позвонить в авторитетный орган
258,ЗМЕЯ,"Укусы каких змей ведут к клиническому симптому, известному как «перекошенность лица»?",Гадюка и гремучая змея,Анацонда и гремучая змея,Гремучая змея и коралл
259,СТОЛБНЯК,Рекомендуемая прививка для предотвращения столбняка у взрослых?,MMR,VIP,Двойной взрослый
260,СТОЛБНЯК,"Рекомендуемая прививка для беременных женщин, чтобы предотвратить столбняк новорожденных?",БЦЖ,MMR,Двойной взрослый
261,СТОЛБНЯК,Где может быть найдена бактерия столбняка?,Только в пожилом возрасте,Только на земле,Различных сред
262,СТОЛБНЯК,Как узнать заражены ли вы столбняком?,Дифтерическая пленка,Приступы кашля ,Ригидность мышц
263,СТОЛБНЯК,Какой микроорганизмам вызывает столбняк?,Вирус,Грибки,Бактерия
264,СТОЛБНЯК ,Что является возбудителем столбняка?,Сальмонелла энтерика,Бордетеллы коклюша,Столбнячная палочка
265,ТРАХОМА,Чем вызвано заболевание трахома?,Вирус,Простейшие,Бактерия
266,ТРАХОМА,"Трахома является заболеванием, поражающим?",Периферические нервы,Пищеварительный тракт,Глаза
267,ТРАХОМА,Как лечится от Трахомы?,Болеутоляющее средство,Гипоаллергенный,Антибиотик
268,ТУБЕРКУЛЕЗ,Что такое туберкулез?,Вирусные заболевания,Грибковое заболевание,Бактериальные болезни
269,ТУБЕРКУЛЕЗ,Какая бактерия вызывает туберкулез?,Бледная трепонема,Бордетеллы коклюша,Бацилла Коха
270,ТУБЕРКУЛЕЗ,Какая прививка предотвращает тяжелые формы туберкулеза?,Грипп ,Краснуха,БЦЖ
271,ТУБЕРКУЛЕЗ,Как можно заболеть туберкулезом?,Половые отношения,Через поцелуй и объятье,Кашель или чихание 
272,ТУБЕРКУЛЕЗ,Какой орган наиболее часто поражается туберкулезом?,Печень,Сердце,Лёгкие
273,ТУБЕРКУЛЕЗ,"На какие органы, помимо лёгких,  туберкулез может повлиять?",Только кишечник,Только кости,Все
274,ТУБЕРКУЛЕЗ,Все люди больные туберкулезом могут быть разносчиками болезни?,Да,Только курильщики,Нет
275,ТУБЕРКУЛЕЗ,Какие из них наиболее часто встречающиеся симптомы туберкулеза?,Диарея,Обморок,Кашель
276,ТУБЕРКУЛЕЗ,"После какого периода кашля, может быть заподозрен туберкулез? ",1 неделя,2 недели,3 недели
277,ТУБЕРКУЛЕЗ,"В какую службу здравоохранения следует обратиться, в случае подозрения на туберкулез? ",Специальное обслуживание,Скорая помощь,Медпункт
278,ТУБЕРКУЛЕЗ,Как долго длится лечение туберкулеза?,2 месяца,4 месяца,По крайней мере 6 месяцев
279,ТУБЕРКУЛЕЗ,"Какие обследования нужно пройти, для диагностики туберкулеза легких?",Анализ крови,Анализ мочи,Анализы мокроты
280,ТУБЕРКУЛЕЗ,Сколько стоит лечение для пациентов с туберкулезом?,R$ 20.00,R$ 300.00,Бесплатно в Единой Системе Здравоохранения
281,ТУБЕРКУЛЕЗ,"Что нужно избегать, чтобы предотвратить заболевание туберкулезом?",Объятия,Поцелуи,"Места, которые не проветриваются"
282,ТУБЕРКУЛЕЗ,Кто может предложить препараты для лечения туберкулеза?,Частная сеть,ВОЗ,Единая Система Здравоохранения
283,ТУБЕРКУЛЕЗ,"Нужно ли отделить чашки, столовые приборы, тарелки и другую посуду для больного туберкулезом?",Да,Только тарелки,Нет
284,ТУБЕРКУЛЕЗ,Какое заболевание должно быть исследовано на пациентах больных туберкулезом?,Сифилис,Свинка,ВИЧ
285,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,При лечении Острой Диареи рекомендуется:,Начать принимать антибиотики,Принимать лекарства против диареи ,Пить жидкость
286,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,Какая из них является частой причиной диареи?,Загрязнённая вода ,Загрязненные продукты питания,Все выше
287,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,Какие из этих заболеваний связаны с хронической диареей?,Вирусные заболевания,Сальмонеллез,Целиакия
288,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,Чем может быть вызвана диарея?,Бактерии,Вирус,Все выше
289,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,"Помимо жидкого стула, какие из этих симптомов могут также возникать во время диареи?",Боль в животе,Тошнота,Все выше
290,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,Какая из этих жидкостей является наиболее подходящей для профилактики и лечения обезвоживания?,Овощной бульон,Газированный напиток,Вода и регидратирующий раствор
291,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,Как называется диарея с присутствием крови в стуле?,Дифтерия,Хроническая диарея,Дизентерия
292,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,"Что является наиболее важным для выбора продуктов питания, которые продаются на улице?",Гигиена,Консервы,Все выше
293,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,Какая еда предлагает больший риск для Ботулизма?,Вода,Свежие овощи ,Встроенный
294,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,Как предотвратить Ротавирусную диарею?,Гигиена фруктов,Использование репеллентов,Гигиена рук
295,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,Какие из этих заболеваний могут передаваться от матери к ребенку во время беременности?,Грипп,Брюшной тиф,Токсоплазмоз
296,ПУНКТ НАДЗОРА ЗАБОЛЕВАНИЙ ПЕРЕДАВАЕМЫХ ЧЕРЕЗ ПРОДУКТЫ ПИТАНИЯ И ВОДУ ,Дети до 2-х лет не могут есть мёд из-за риска приобретения какой болезни?,Коклюш ,Малярия,Ботулизм
297,ВАКЦИНАЦИЯ ПУТЕШЕСТВЕННИКА,"За сколько времени до путешествия, вы должны проверить ваши прививки? ",1 день,1 неделя,4 - 8 недель
298,ВАКЦИНАЦИЯ ПУТЕШЕСТВЕННИКА,"В Бразилии, взрослые тоже должны прививаться регулярно?",Нет,Только в чрезвычайных ситуациях,Да
299,ВАКЦИНАЦИЯ ПУТЕШЕСТВЕННИКА,Прививка против желтой лихорадки перед поездкой:,Это не является необходимым,Зависит от возраста,Это не является необходимым
300,ВАКЦИНАЦИЯ ПУТЕШЕСТВЕННИКА,На каких сайтах можно получить полную и достоверную информацию о прививках?,"Национальное Агентство по Санитарному Надзору, ANVISA",Министерство Здравоохранения,Все варианты
301,НАДЗОР ЗА НАЗЕЛЕНИЕМ ПОДВЕРЖЕННЫМ ВОЗДЕЙСТВИЮ ХИМИЧЕСКИХ ЗАГРЯЗНЯЮЩИХ ВЕЩЕСТВ ,Что делать в случае отравления химическими загрязнителями?,Вызвать рвоту,Пить молоко,Искать врача
302,НАДЗОР ЗА НАЗЕЛЕНИЕМ ПОДВЕРЖЕННЫМ ВОЗДЕЙСТВИЮ ХИМИЧЕСКИХ ЗАГРЯЗНЯЮЩИХ ВЕЩЕСТВ ,Что делать в случае отравления пестицидами?,Вызвать рвоту,Пить молоко,Искать врача