المعرّف,الموضوع,أسئلة,البديل أ,البديل ب,البديل ج
143,داء الليشمانيا الغلافي,ما التشخيص التأكيدي لداء الليشمانيات الغلافي؟,مصل الدم,سريري,من الوجهة الطفيلية
144,داء الليشمانيا الغلافي,في أي مناطق يتنقل عادة داء الليشمانيات الغلافي؟,المناطق الحضرية,المناطق الساحلية,حرجي والمناطق الريفية
145,داء الليشمانيا الغلافي,أي من هذه الحشرات ينقل داء الليشمانيات الغلافي؟,الزاعجة المصرية,القراد,ذباب الرمال
146,داء الليشمانيا الغلافي,أين يتطور ناقل داء الليشمانيات الغلافي؟,المياه الجارية,منازل بأسقف من الأغصان,البيئات الرطبة
147,داء الليشمانيا الغلافي,أي مما يلي لا يعد إجراءًا وقائيًا لداء الليشمانيات؟,الحفاظ على نظافة الساحة,استخدام المبيدات الحشرية,القضاء على جميع مصادر المياه الجارية
148,داء الليشمانيات الحشوي,كيف يعرف داء الليشمانيات الحشوي بشكل شائع؟,الحبة الشرقية,مرض الطفح الزاحف,كالازار الداء الأسود
149,داء الليشمانيات الحشوي,ما المنطقة البرازيلية حالات إصابة أكثر بداء الليشمانيات الحشوي؟,المنطقة الجنوبية,المنطقة الشرقية,المنطقة الشمالية الشرقية
150,داء الليشمانيات الحشوي,هل يمكن أن يؤدي داء الليشمانيات الحشوي غير المعالج إلى وفاة المريض؟,لا,في كبار السن فقط,نعم
151,داء الليشمانيات الحشوي,أي مما يلي يعد من أعراض داء الليشمانيات الحشوي؟,العمى,الجفاف,الحمى
152,داء الليشمانيات الحشوي,هل يوجد علاج متوفر لداء الليشمانيات الحشوي؟,لا,فقد في نظام الرعاية الصحية الخاص,نعم، في نظام SUS
153,داء الليشمانيات الحشوي,أي فحص متوفر في نظام SUS لتشخيص داء الليشمانيات الحشوي؟,فحص الدم,تخطيط فوق صوتي,فحص سريع
154,داء الليشمانيات الحشوي,ما المضيف الأساسي لداء الليشمانيات الحشوي في المناطق الحضرية؟,الدجاج,الكائنات البشرية,الكلاب
155,داء الليشمانيات الحشوي,ما الصورة الأساسية لانتقال داء الليشمانيات الحشوي بين الكلاب؟,لدغات,ملامسة البول,لدغات الحشرات
156,داء الليشمانيات الحشوي,أي مما يلي يعد واحدة من العلامات السريرية الرئيسية الدالة على داء الليشمانيات الحشوي في الكلاب؟,سلوك عدائي,جلد يميل إلى الصفرة,الآفات الجلدية
157,داء الليشمانيات الحشوي,أي من هذه الحشرات ينقل داء الليشمانيات الحشوي إلى الإنسان؟,الزاعجة المصرية,القراد,ذباب الرمال
158,داء الليشمانيات الحشوي,أين تتطور الحشرة الناقلة لداء الليشمانيات الحشوي؟,المياه الجارية,منازل بأسقف من الأغصان,البيئات الرطبة
159,الملاريا,في أي منطقة برازيلية يتركز ما يزيد عن 99% من جميع الحالات المصابة بالملاريا؟,الجنوب الشرقي,الشمال الشرقي,الشمال
160,الملاريا,كيف تنتقل الملاريا؟,باستخدام المياه,عن طريق الطعام,لدغة البعوضة
161,الملاريا,في أي من هذه الأماكن توجد يرقة البعوضة التي تنقل الملاريا؟,خزانات المياه,فتحات المجاري,البحيرات
162,الملاريا,أي مما يلي يعد الطريقة الأمثل للوقاية من بعوضة الملاريا؟,تناول الفيتامينات,أخذ اللقاحات,استخدام الناموسيات
163,الملاريا,ما البعوضة التي تنقل الملاريا؟,أنثى البعوض الزاعج,ذكر بعوضة الأنوفيليس,أنثى بعوضة الأنوفيليس
164,الملاريا,أي مما يلي يعد من أعراض الملاريا الحادة؟,إعياء,نزف,ارتفاع في حرارة الجسم أكبر من 41 درجة مئوية
165,الملاريا,ما الوسائل المثلى لإيقاف دورة انتقال الملاريا؟,تناول الشاي والاسترخاء,يستحيل إيقاف الدورة,تشخيص في الوقت المناسب
166,الملاريا,ما العرض الأكثر شيوعًا للملاريا؟,ضيق النفس,بقع جلدية,ارتفاع في حرارة الجسم
167,الملاريا,هل من الممكن تناول دواء للوقاية من الملاريا؟,لا,الداء المستورد فقط,نعم
168,الملاريا,من يكون عرضة للإصابة بالملاريا؟,للرجال فقط,الأطفال فقط,أي أحد
169,الملاريا,ما العلامات والأعراض الأكثر شيوعًا للملاريا؟,بقع جلدية,ألم في المفاصل,الحمى
170,الملاريا,هل يجوز أن أصاب بالملاريا أكثر من مرة واحدة؟,لا,نعم، مرتان,نعم
171,الملاريا,هل يوجد لقاح للملاريا؟,نعم,في الأفراد البالغين فقط,لا
172,الملاريا,كيف يتم تشخيص الملاريا؟,عن طريق اللعاب,الأمر خطير دائمًا,عن طريق الدم
173,الملاريا,هل تمثل الملاريا مشكلة خطيرة؟,لا,إنها دائمًا خطيرة,نعم
174,الملاريا,أين تقع المنطقة الموبوءة بالملاريا في البرازيل؟,الجنوب الشرقي,الشمال الشرقي,الشمال
175,الملاريا,ما الذي يسبب الملاريا؟,فيروس,البكتيريا,البلازموديوم
176,الملاريا,هل يجوز أن أصاب بالملاريا من شخص ما مصاب بها؟,نعم، عن طريق احتضان الآخرين,نعم، بالتقبيل,لا
177,الملاريا,أين ينبغي علي الذهاب للخضوع إلى تشخيص الملاريا؟,مخرن الأدوية,الجيران,نظام SUS
178,الملاريا,أين يتم علاج الملاريا؟,في مخزن الأدوية,في منزل الجار,في نظام SUS
179,الملاريا,كم تبلغ تكلفة العلاج من الملاريا؟,300 دولار,50 دولارًا,مجاني في نظام SUS
180,الملاريا,هل توجد الملاريا في البرازيل؟,لا، فقط في آسيا,لا، في أفريقيا فقط,نعم
181,الملاريا,أي من هذه القارات تعاني من حالات مصابة بالملاريا؟,أمريكا وأوقيانوسيا,آسيا وأوقيانوسيا,أمريكا وأفريقيا
182,الملاريا,كيف أستطيع تفادي الإصابة بالملاريا؟,لدغة البعوضة,نقل,مياه ملوثة
183,الملاريا,هل يستخدم العلاج نفسه لأنواع الملاريا الأكثر شيوعًا في البرازيل (النشيطة والمنجلية)؟,نعم,لا يوجد علاج,لا
184,الملاريا,هل تمثل الحمى أحد أعراض الملاريا؟,لا,حمى خفيفة فقط,نعم
185,الملاريا,هل تنقل البعوضة التي تنقل حمى الضنك الملاريا كذلك؟,نعم,جميع الأمراض,لا
186,الملاريا,في أي عضو يتكاثر طفيل الملاريا قبل مهاجمة خلايا الدم الحمراء؟,الجلد,الطحال,الكبد
187,الملاريا,في أي فترة يسهل التعرض للدغة البعوضة التي تنقل الملاريا؟,خلال اليوم,عندما تمطر,فترات الصباح وفترات بعد الظهيرة وفترات المساء
188,الملاريا,هل تقتل الملاريا؟,عقابيل فقط,لا,نعم
189,الملاريا,هل يستطيع النساء الحوامل تناول دواء الملاريا؟,نعم,تتوقف على الحالة المحددة,لا
190,الملاريا,هل يمكن العلاج من الملاريا بالشاي والأعشاب؟,نعم,فقط مع شاي المتة,لا
191,الملاريا,هل ينبغي علي تفادي أي نوع معين من الطعام عند تناول دواء الملاريا؟,طعام حار,الطعام الدسم,لا
192,الملاريا,ما المضيف الذي يعيش عليه طفيل الملاريا خلال دورة حياته؟,البشر فقط,لا أحد,البعوض والبشر
193,الملاريا,ما النسبة المئوية التقريبية لسكان العالم الذين يتعرضون إلى خطر الإصابة بعدوى الملاريا؟,0%,10%,50%
194,الملاريا,بعد التعرض للدغة البعوضة، ما الفترة التي يقضيها المريض قبل ظهور أعراض الملاريا عليه؟,من يوم إلى 3 أيام,30 يوميًا,من 10 أيام إلى 15 يومًا
195,الملاريا,هل يمكن أن تنقل أي بعوضة الملاريا؟,نعم,لا، البعوضة الزاعجة فقط,لا، بعوض الأنوفيليس فقط
196,الملاريا,كيف تنتقل الملاريا؟,عن طريق احتضان الآخرين,بالتقبيل,لدغة البعوضة
197,الملاريا,كيف أستطيع تفادي الإصابة بالملاريا؟,تناول الفاكهة,شرب الشاي,تفادي التعرض إلى البعوض
198,الملاريا,هل يوجد علاج للملاريا؟,في بعض الحالات,لا,نعم
199,الملاريا,أين أستطيع الحصول على لقاح الملاريا؟,في المستشفيات الخاصة,في مخازن الأدوية,لا يوجد لقاح
200,الملاريا,هل توجد مادة محددة طاردة للحشرات تستخدم في مواجهة البعوضة المسببة للملاريا؟,نعم,نعم، المواد المنفرة المستوردة,لا
201,الملاريا,هل تتكاثر البعوضة المسببة للملاريا بطريقة مماثلة للبعوضة المسببة لحمى الضنك؟,نعم,لا تتكاثر,لا
202,الملاريا,ما نوع بعوضة الأنوفيليس الناقلة للملاريا، ذكر أم أنثى؟,كلاهما,الذكر فقط,الإناث فقط 
203,الملاريا,إذا تعرضت إحدى النساء الحوامل للإصابة بالملاريا، هل يكون الطفل عرضة للخطر؟,الأم فقط عرضة للخطر,لا,نعم
204,الملاريا,أي الفئات العمرية يمكن أن تمثل عليها الملاريا خطرًا كبيرًا؟,المراهقون,الأفراد البالغون,كبار السن والأطفال
205,الملاريا,هل يُوصى بالتوقف عن علاج الملاريا؟,لا,لا، فقط حتى منتصف الطريق,نعم
206,الأدوية,أي صنف دواء يتم استخدامه لعلاج العدوى البكتيرية؟,مضادات القيء,مضادات الفيروسات,مضادات حيوية
207,الأدوية,أي صنف دواء يتم استخدامه لعلاج الألم؟,مضادات الحموضة,العوامل المضادة للورم,مسكنات الألم
208,الأدوية,أي صنف دواء يتم استخدامه لعلاج السرطان؟,الأدوية المضادة للقرح,العوامل المضادة للتشنج,العوامل المضادة للورم
209,الأدوية,أين أستطيع إيجاد المعلومات الأكثر أهمية المتعلقة بدواء معين؟,الوصفات الطبية,العبوات,نشرات المعلومات
210,الأدوية,يُعرف أي دواء يستخدم لعلاج أعراض مرض ما أو تخفيفه باسم:,الدواء الوهمي,لقاح,الدواء
211,الأدوية,يطلق على الأدوية الناتجة مباشرة من مستخلصات نباتية اسم:,التسريبات أو الشاي,المعالجة المثلية,الدواء العشبي
212,التهاب السحايا,أي مما يلي يعد من علامات التهاب السحايا وأعراضه؟,التقيؤ,السعال,رقبة متيبسة
213,التهاب السحايا,أي مرض يؤدي إلى الإصابة بالتهاب السحايا؟,السكتة الدماغية,الخثار,الوتدية الخناقية
214,التهاب السحايا,أي كائن حي دقيق يتسبب في الإصابة بالنوع الأكثر خطورة من التهاب السحايا؟,فيروس,الفطريات,البكتيريا
215,صغر الرأس,ماذا يقصد بصغر الرأس؟,البكتيريا,فيروس,عيوب خلقية
216,داء كلابية الذنب,أي بعوضة تنقل داء كلابية الذنب؟,الزاعجة المصرية,الكيولكس,الذلفاء
217,داء كلابية الذنب,ما الاسم الشائع الذي يُعرف به داء كلابية الذنب كذلك؟,مرض الحلزون,مرض القراد,العمى النهري
218,داء كلابية الذنب,أي الولايات البرازيلية سجلت حالات مصابة بداء كلابية الذنب؟,سانتا كاترينا وريو غراندي دو سول,غوياس وماتو غروسو,منطقة الأمازون ورورايما
219,الحيوانات السامة الأخرى,ما المسار الإجرائي المناسب المتبع في حالة وقوع حوادث تتسبب بها حيوانات سامة؟,الجري والقفز,شرب الشاي,البحث عن مساعدة طبية
220,الحيوانات السامة الأخرى,أي من هذه الحيوانات يعد سامًا؟,الفئران,الخفاش مصاص الدماء,العنكبوت البرازيلي الجوال
221,الحيوانات السامة الأخرى,أي من هذه الحيوانات يعد سامًا؟,الكلاب,السمكة المنتفخة,العقارب
222,الحيوانات السامة الأخرى,أي من هذه الحيوانات يعد سامًا؟,البرص,سمكة السيف,أفعى الدساس السامة
223,الحيوانات السامة الأخرى,أي من هذه الحيوانات يعد سامًا؟,الأفعى الزجاجية,العقرب المزيف,حشرة الحريشة
224,الحيوانات السامة الأخرى,أي من هذه الحيوانات يعد سامًا؟,الأفعى العمياء,سمك القرش,قنديل البحر
225,شلل الأطفال,أي كائن حي دقيق يتسبب في الإصابة بشلل الأطفال؟,البكتيريا,الفطريات,فيروس
226,شلل الأطفال,كيف يعرف شلل الأطفال بشكل شائع؟,الخناق,سعال حاد,شلل الأطفال
227,شلل الأطفال,كم تبلغ فترة حضانة شلل الأطفال العامة؟,من يوم واحد إلى 6 أيام,من 5 أيام إلى 15 يومًا,من 7 أيام إلى 12 يومًا
228,شلل الأطفال,ما الإجراء الوقائي الرئيسي لتفادي الإصابة بشلل الأطفال؟,العلاج بالمضادات الحيوية,استخدام الواقيات الجنسية,التطعيم
229,شلل الأطفال,تشير أعراض الشلل الرخو الحاد الذي يصيب الأطفال دون سن 15 إلى طبيعة المرض؟,الكزاز,السعال الديكي,شلل الأطفال
230,داء الكلب,من ينقل داء الكلب؟,البعوض,الطيور,الثدييات
231,داء الكلب,أي مما يلي ينقل داء الكلب؟,الأرانب وجرذان الهامستر,الدجاج والبط,الكلاب والقطط
232,داء الكلب,أي مما يلي يعد من وسائل انتقال داء الكلب؟,تلامس القمامة,لدغة البعوضة,لدغات
233,داء الكلب,أي مما يلي يعد من أعراض داء الكلب التي تظهر على الإنسان؟,بقع حمراء,الإسهال,التشنجات العضلية
234,داء الكلب,ما علامات داء الكلب وأعراضه الرئيسية التي تظهر على الحيوانات (الكلاب أو القطط)؟,هز الذيل,سلوك وديع,لا تأكل
235,داء الكلب,كيف يمكن الوقاية من الإصابة بداء الكلب؟,عدم مغادرة المنزل أبدًا,تفادي الوجود في مكبات القمامة,تطعيم القطط والكلاب
236,داء الكلب,هل يوجد علاج مخصص لداء الكلب الذي يصيب الإنسان؟,نعم,أحيانًا,لا يوجد علاج وهو مرض فتاك!
237,منتجات التنظيف,تتمثل المنتجات المستخدمة لتنظيف الأسطح الجامدة في ما يلي:,أدوات التجميل,مضادات الأكسدة,منتجات التنظيف
238,منتجات التنظيف,بعد تناول منتجات التنظيف أو استنشاقها عن طريق الخطأ، يجب عليك دائمًا القيام بما يلي:,الحاجة إلى التقيؤ,مياه الشرب,قراءة ملصق التسمية
239,فيروس الحصبة,تعد الحصبة مرضًا معديًا تتسبب به:,البكتيريا,حيوانات وحيدة الخلية,فيروس
240,فيروس الحصبة,ينتقل فيروس الحصبة بواسطة:,الفم أو البراز,الزاعجة المصرية,الخطوط الجوية
241,فيروس الحصبة,أي مما يلي يعد من الأعراض المميزة للحصبة؟,التهاب الملتحمة,صداع,بقع حمراء
242,فيروس الحصبة,كم تبلغ فترة الحضانة التقريبية للحصبة؟,5 أيام,3 أيام,10 أيام
243,فيروس الحصبة,ما الوقاية الأكثر فعالية تجاه الحصبة؟,استخدام معدات الوقاية الشخصية,العزل,لقاح
244,فيروس الحصبة,ما معيار التأكيد لحالات الإصابة بالحصبة؟,الخزعة,تصوير تشخيصي,فحوصات مختبرية
245,فيروس الحصبة,ما الفترة المثالية لإعلام حالة يشتبه في إصابتها بالحصبة؟,حتى 48 ساعة,حتى 72 ساعة,تصل إلى 24 ساعة
246,فيروس الحصبة,ما الفترة المثالية لاستخدام لقاحات الوقاية من الحصبة؟,حتى شهر واحد ,حتى 96 ساعة,حتى 72 ساعة
247,فيروس الحصبة,لا ينصح بإعطاء لقاحات الفيروسات ثلاثية التكافؤ ورباعية التكافؤ لأي مجموعة من السكان؟,كبار السن,الأطفال دون عمر السنة الواحدة,النساء الحوامل  
248,الصحة المهنية ونظام SUS,يتمثل الحق في الحصول على رعاية صحيحة في ما يلي:,لا ينص عليه القانون,غير ضروري,الذي ينص عليه القانون
249,الصحة المهنية ونظام SUS,"ما الاختصار المحدد لـ "" Sistema Único de Saúde "" [نظام الرعاية الصحية الموحد]?",SISU,SINAN,نظام SUS
250,الصحة المهنية ونظام SUS,يوفر نظام SUS الرعاية الصحيحة لما يلي:,العاملون,هؤلاء ممن لهم تأمين,جميعها 
251,الصحة المهنية ونظام SUS,من الضروري استخدام أحزمة المقاعد في الأعمال التي تتم على ارتفاعات تصل على أقل تقدير إلى:,1 م,3 م,2 م 
252,الصحة المهنية ونظام SUS,أي مما يلي يجب استخدامه في حالة نشوب حريق بسبب السوائل القابلة للاشتعال؟,المياه,ثاني أكسيد الكربون,رغوة 
253,الصحة المهنية ونظام SUS,ما أدنى وأقصى حدود مقبولة لتحمل الضوضاء؟,85 إلى 110,من 80 إلى 115,من 85 إلى 115 
254,الأفاعي,ما الذي يجب فعله فورًا بعد وقوع أي حادثة تسببت بها الأفاعي؟,تركيب عاصبة (أداة وقف النزيف),استخدام الكحول المحمر,البحث عن المساعدة في نظام SUS
255,الأفاعي,أي من الأفاعي السامة التالية مسؤولية عن وقوع العدد الأكبر من الحوادث في البرازيل؟,الأفعى المجلجلة,المرجان,أفعى الحفر
256,الأفاعي,أي من الأفاعي التالية سامة؟,أفعى الأناكوندا,أفعى الحفاث,أفعى الحفر
257,الأفاعي,ما الذي ينبغي علي فعله بعد التعرض للدغة من إحدى الأفاعي؟,حاول الإمساك بها,أخذ صورة شخصية معها,الاتصال بالسلطات
258,الأفاعي,"أي لدغات أفاعي تؤدي إلى الإصابة بحالة سريرية تُعرف على نحو شائع باسم ""الوجه في حالة سكر""؟",أفاعي الحفر والأفاعي المجلجلة,أفاعي الحفاث والأفاعي المجلجلة,الأفعى المجلجلة والمرجان
259,الكزاز,أي لقاح يُوصى به للوقاية من إصابة الأفراد البالغين بالكزاز؟,لقاح الفيروس ثلاثي التكافؤ,شخص مهم جدًا,تطعيم مزدوج للأفراد البالغين
260,الكزاز,أي لقاح يُوصى به للنساء الحوامل للوقاية من كزاز المواليد الجدد؟,لقاح عصية كالميت جيران,لقاح الفيروس ثلاثي التكافؤ,تطعيم مزدوج للأفراد البالغين
261,الكزاز,أين توجد بكتيريا الكزاز؟,فقط في أظافر الأيدي,فقط في الأرض,العديد من البيئات المختلفة
262,الكزاز,كيف تستطيع معرفة إذا كنت مصابًا بالكزاز؟,غشاء كاذب,سعال متكرر ,تصلب العضلات
263,الكزاز,أي كائن حي دقيق يتسبب في الإصابة بالكزاز؟,فيروس,الفطريات,البكتيريا
264,الكزاز ,ما العامل المسبب للكزاز؟,سلمونيلة كوليرا الخنازير,البورديتيلة الشاهوقية,المطثية الكزازية
265,تراخوما,ما الذي يسبب مرض التراخوما؟,فيروس,حيوانات وحيدة الخلية,البكتيريا
266,تراخوما,التراخوما هو مرض يصيب:,الأعصاب الطرفية,الجهاز الهضمي,العينان
267,تراخوما,كيف يتم علاج التراخوما؟,مسكنات الألم,ضعيف التأريج,مضادات حيوية
268,السل,ماذا يقصد بالسل؟,مرض فيروسي,مرض فطري,مرض بكتيري
269,السل,أي بكتيريا تتسبب في الإصابة بالسل؟,اللولبية الشاحبة,البورديتيلة الشاهوقية,عصية كوخ
270,السل,أي لقاح يقي من الأشكال الأكثر خطورة للسل؟,الأنفلونزا,الحصبة الألمانية,لقاح عصية كالميت جيران
271,السل,كيف ينتقل السل؟,الاتصال الجنسي,التقبيل والاحتضان,السعال أو العطس
272,السل,أي عضو يُصاب غالبًا بالسل؟,الكبد,القلب,الرئتان
273,السل,ما الأعضاء الأخرى التي يمكن أن تصاب أيضًا بالسل، بالإضافة إلى الرئتين؟,الأمعاء فقط,العظام فقط,جميعها
274,السل,هل من المحتمل أن ينتقل المرض من شخص ما مصاب بالسل؟,نعم,المدخنون فقط,لا
275,السل,أي مما يلي يعد من الأعراض الشائعة للسل؟,الإسهال,الإغماء,السعال
276,السل,كم تبلغ فترة الإصابة بالسعال والتي ينبغي بعدها أن يساورني الشك بالإصابة بالسل؟ ,أسبوع واحد,أسبوعان,3 أسابيع
277,السل,أي خدمة رعاية صحية يجب البحث عنها في حالة الاشتباه بالإصابة بالسل؟ ,خدمات خاصة,غرفة الطوارئ,UBS
278,السل,ما المدة التي يستغرقها العلاج من السل؟,شهران,4 أشهر,6 أشهر على أقل تقدير
279,السل,أي فحوصات يتم الخضوع إليها لتشخيص السل الرئوي؟,فحص الدم,فحص البول,فحوصات البلغم
280,السل,كم تبلغ تكلفة علاج السل؟,R$ 20.00,R$ 300.00,مجاني في نظام SUS
281,السل,ما الذي ينبغي تفاديه من أجل الوقاية من السل؟,احتضان,التقبيل,بيئات داخلية مغلقة
282,السل,من يوفر أدوية علاج السل؟,نظام الرعاية الصحية الخاص,منظمة الصحة العالمية,نظام SUS
283,السل,هل من الضروري أن يستخدم مرضى السل كؤوس شرب وأدوات مائدة وأواني طعام منفصلة؟,نعم,الأطباق فقط,لا
284,السل,ما المرض الذي يجب التحقق منه وفحصه في مرضى السل؟,مرض الزهري,التهاب الغدة النكفية,فيروس العوز المناعي البشري
285,UVHA,ينصح بما يلي عند علاج مرض الإسهال الحاد:,تناول المضادات الحيوية,تناول دواء الإسهال,شرب السوائل
286,UVHA,أي مما يلي يعد من الأسباب الشائعة للإصابة بالإسهال؟,مياه ملوثة ,طعام ملوث,جمع ما سبق
287,UVHA,أي مما يلي يرتبط بالإسهال المزمن؟,أمراض فيروسية,داء السلمونيلات,الداء البطني
288,UVHA,ما الذي يمكن أن يتسبب في الإصابة بالإسهال؟,البكتيريا,فيروس,جمع ما سبق
289,UVHA,بالإضافة إلى البراز المصفر، ما الأعراض التي يمكن أيضًا أن تظهر في حالة الإصابة بالإسهال؟,ألم البطن,الغثيان,جمع ما سبق
290,UVHA,أي من السوائل التالية يوصى بها بدرجة كبيرة لتفادي الإصابة بالجفاف والعلاج منه؟,حساء الخضار,الصودا,الماء والمحلول الملحي محلي الصنع
291,UVHA,ما الاسم الذي يطلق على الإسهال المصحوب بدم يمكن رؤيته في البراز؟,الدفتيريا,إسهال مزمن,الزحار
292,UVHA,ما الجانب الأكثر أهمية عند شراء المنتجات الغذائية المباعة في الشارع؟,النظافة الصحية,طعام مخلل,جمع ما سبق
293,UVHA,ما الغذاء الذي يحتوي على خطر أكبر للتعرض للتسمم؟,المياه,الخضروات الطازجة ,طعام مصّنع
294,UVHA,كيف يمكن الوقاية من انتقال الإسهال بواسطة فيروس روتا (الفيروس المعوي)؟,نظافة الفاكهة,استخدام مادة طاردة للحشرات,نظافة اليدين
295,UVHA,أي من هذه الأمراض يمكن أن تنتقل من الأم إلى الطفل خلال فترة الحمل؟,البرد,حمى التيفود,داء المقوسات
296,UVHA,يجب عدم ابتلاع الأطفال دون سن العامين العسل نظرًا لما يسببه في خطر الإصابة بأي مرض؟,السعال الديكي ,الملاريا,التسمم السجقي
297,لقاحات السفر,ما المدة التي تكون مطالبًا فيها قبل السفر بالتحقق من إذا ما كانت اللقاحات التي لديك سارية المفعول؟ ,يوم واحد,أسبوع واحد,من 4 إلى 8 أسابيع
298,لقاحات السفر,هل يحتاج الأفراد البالغون أيضًا إلى أخذ اللقاحات بصفة دورية في البرازيل؟,لا,في حالات الطوارئ فقط,نعم
299,لقاحات السفر,أخذ لقاحات الحمى الصفراء قبل السفر:,غير ضروري,تعتمد على العمر,ضروري
300,لقاحات السفر,ما الكيان الذي يقدم معلومات كاملة وموثوق بها فيما يخص اللقاحات؟,ANVISA,وزارة الصحة,جمع ما سبق
301,VIGIPEQ,ما المسار الإجرائي المناسب المتبع في حالة حدوث تسمم بسبب الملوثات الكيميائية؟,الحاجة إلى التقيؤ,بلع الحليب,البحث عن مساعدة طبية
302,VIGIPEQ,ما المسار الإجرائي المناسب المتبع في حالة حدوث تسمم بسبب المبيدات الحشرية؟,الحاجة إلى التقيؤ,بلع الحليب,البحث عن مساعدة طبية